,,,,,,Lampides boeticus 3,"37.444885,-7.918897",,,
,,,,,,Lampides boeticus 4,"37.444885,-7.918897",,,
,,,,,,Maniola jurtina 1,"37.444126,-7.917364",,,
,,,,,,Lycaena phlaeas 1 ,"37.4438249,-7.9167887",,,
,,,,,,Maniola jurtina 2,"37.4435323,-7.9177154",,,
,18:28,19:23,,4//9,3,Passer domesticus,,30,,
,,,,,,Streptopelia decaocto,,5,,
,,,,,,Phylloscopus collybita,,1,,
,,,,,,Cettia cetti,,1,,
,,,,,,Erithacus rubecula,,6,,
,,,,,,Turdus merula,,4,,
,,,,,,Certhia brachydactyla,,1,,
,,,,,,Sylvia melanocephala,,1,,
,17:52,19:10,,2//9,2,Streptopelia decaocto,,5,,
,,,,,,Passer domesticus,,31,,
,,,,,,Lullula arborea,,1,,
,,,,,,Alauda arvensis,,1,,
,,,,,,Cyanopica cooki,,35,,
,,,,,,Erithacus rubecula,,3,,
,,,,,,Sturnus unicolor,,13,,
,7:10,8:10,,9//9,0,Passer domesticus,,75,,
,,,,,,Streptopelia decaocto,,2,,
,,,,,,Cyanistes caeruleus,,3,,
,,,,,,Phylloscopus collybita,,3,,
,,,,,,Linaria cannabia,,1,,
,,,,,,Lullula arborea,,3,,
,,,,,,Erithacus rubecula,,3,,
,,,,,,Cyanopica cooki,,6,,
,,,,,,Sturnus unicolor,,1,,
,7:00,8:00,18,7,4,Passer domesticus,,62,,
,,,,,,Phylloscopus collybita,,1,,
,,,,,,Erithacus rubecula,,3,,
,,,,,,Spinus spinus,,1,,
,,,,,,Lullula arborea,,1,,
,,,,,,Sylvia melanocephala,,1,,
,,,,,,Aegithalos caudatus,,1,,
,,,,,,Ciconia ciconia,,1,,
,,,,,,,,,3,A
,,,,,,,,,2,B
,,,,,,,,,5,C
,,,,,,,,,2,D
,,,,,,,,,5,E
,,,,,,,,,2,F
,,,,,,,,,2,G
,,,,,,,,,4,H
,,,,,,,,,4,I
,,,,,,,,,2,J
,,,,,,,,,4,K
,,,,,,,,,2,L
,,,,,,,,,3,M
,,,,,,,,,2,N
,,,,,,,,,3,O
,,,,,,,,,2,P
,,,,,,,,,2,Q
,,,,,,,,,2,R
,,,,,,,,,2,S
,,,,,,,,,3,T
,,,,,,,,,3,U
,,,,,,,,,3,V
,,,,,,,,,6,W
,,,,,,,,,2,X
,,,,,,,,,2,Y
,,,,,,,,,4,Z
